Country	Year	Month	Temperature (C)
USA	1901	January	-5.2027664
USA	1901	February	-6.137612
USA	1901	March	-0.14086655
USA	1901	April	4.8741455
USA	1901	May	11.898211
USA	1901	June	16.609783
USA	1901	July	20.391804
USA	1901	August	18.83336
USA	1901	September	13.7611065
USA	1901	October	8.578011
USA	1901	November	0.42184702
USA	1901	December	-4.4620423
USA	1902	January	-5.598393
USA	1902	February	-4.455533
USA	1902	March	-0.47497964
USA	1902	April	5.3694263
USA	1902	May	12.415154
USA	1902	June	16.574635
USA	1902	July	19.069365
USA	1902	August	18.193815
USA	1902	September	13.492961
USA	1902	October	8.052176
USA	1902	November	1.0345606
USA	1902	December	-6.101261
USA	1903	January	-5.9506507
USA	1903	February	-6.157038
USA	1903	March	0.117554925
USA	1903	April	5.013507
USA	1903	May	11.39642
USA	1903	June	15.831163
USA	1903	July	18.743898
USA	1903	August	18.135069
USA	1903	September	13.529861
USA	1903	October	7.4442024
USA	1903	November	-0.58384866
USA	1903	December	-4.6340113
USA	1904	January	-7.3816924
USA	1904	February	-6.390297
USA	1904	March	-0.79961354
USA	1904	April	5.1888933
USA	1904	May	11.800284
USA	1904	June	16.434887
USA	1904	July	18.859074
USA	1904	August	17.585863
USA	1904	September	14.134845
USA	1904	October	7.6272783
USA	1904	November	0.9991253
USA	1904	December	-4.260049
USA	1905	January	-6.370586
USA	1905	February	-5.7490845
USA	1905	March	2.1014647
USA	1905	April	6.0607
USA	1905	May	11.647071
USA	1905	June	16.717594
USA	1905	July	18.822111
USA	1905	August	18.583889
USA	1905	September	14.350935
USA	1905	October	6.6374903
USA	1905	November	1.5394223
USA	1905	December	-5.145606
USA	1906	January	-6.5096626
USA	1906	February	-3.6716843
USA	1906	March	-1.4720911
USA	1906	April	6.308421
USA	1906	May	11.539341
USA	1906	June	16.339931
USA	1906	July	19.006163
USA	1906	August	18.44105
USA	1906	September	15.000834
USA	1906	October	7.4794755
USA	1906	November	0.013547599
USA	1906	December	-4.2010374
USA	1907	January	-5.284276
USA	1907	February	-5.1473556
USA	1907	March	0.96702605
USA	1907	April	4.4491253
USA	1907	May	10.292026
USA	1907	June	15.531795
USA	1907	July	18.964462
USA	1907	August	18.049227
USA	1907	September	14.102034
USA	1907	October	7.295667
USA	1907	November	-0.005919447
USA	1907	December	-3.295484
USA	1908	January	-4.748088
USA	1908	February	-4.050997
USA	1908	March	0.56108624
USA	1908	April	5.966497
USA	1908	May	11.192473
USA	1908	June	16.167048
USA	1908	July	19.31137
USA	1908	August	17.753742
USA	1908	September	14.191437
USA	1908	October	6.4877343
USA	1908	November	0.85528886
USA	1908	December	-3.3050652
USA	1909	January	-6.170606
USA	1909	February	-4.3972945
USA	1909	March	-1.0072824
USA	1909	April	4.3643003
USA	1909	May	10.868124
USA	1909	June	16.674614
USA	1909	July	19.130756
USA	1909	August	18.743979
USA	1909	September	13.7235155
USA	1909	October	6.877909
USA	1909	November	1.0237795
USA	1909	December	-7.376973
USA	1910	January	-6.520179
USA	1910	February	-6.471705
USA	1910	March	2.9048617
USA	1910	April	5.9889746
USA	1910	May	11.258726
USA	1910	June	16.338732
USA	1910	July	19.417778
USA	1910	August	17.915379
USA	1910	September	14.791437
USA	1910	October	8.221094
USA	1910	November	0.24676566
USA	1910	December	-5.219752
USA	1911	January	-5.6647882
USA	1911	February	-3.6575062
USA	1911	March	0.22788854
USA	1911	April	4.6056757
USA	1911	May	11.985517
USA	1911	June	17.470383
USA	1911	July	19.101484
USA	1911	August	18.101648
USA	1911	September	14.950244
USA	1911	October	8.048882
USA	1911	November	-1.4387103
USA	1911	December	-4.5267496
USA	1912	January	-7.059703
USA	1912	February	-4.153804
USA	1912	March	-1.365358
USA	1912	April	6.1705046
USA	1912	May	12.326912
USA	1912	June	15.710028
USA	1912	July	18.958178
USA	1912	August	17.602827
USA	1912	September	13.63328
USA	1912	October	7.7335234
USA	1912	November	1.1353337
USA	1912	December	-4.155919
USA	1913	January	-6.649105
USA	1913	February	-4.745464
USA	1913	March	-0.7694874
USA	1913	April	5.859683
USA	1913	May	11.837612
USA	1913	June	17.133585
USA	1913	July	19.199165
USA	1913	August	18.754578
USA	1913	September	13.611208
USA	1913	October	6.8191414
USA	1913	November	1.9771969
USA	1913	December	-3.851078
USA	1914	January	-4.0970507
USA	1914	February	-5.088975
USA	1914	March	-0.35020342
USA	1914	April	5.7341127
USA	1914	May	12.3587265
USA	1914	June	17.214382
USA	1914	July	19.824919
USA	1914	August	18.52502
USA	1914	September	13.847763
USA	1914	October	9.0659685
USA	1914	November	1.3716029
USA	1914	December	-4.8778477
USA	1915	January	-5.5803905
USA	1915	February	-3.416436
USA	1915	March	-0.7237592
USA	1915	April	7.8900123
USA	1915	May	11.436636
USA	1915	June	16.11971
USA	1915	July	18.786676
USA	1915	August	17.876362
USA	1915	September	14.4154
USA	1915	October	7.841111
USA	1915	November	1.087083
USA	1915	December	-4.0688567
USA	1916	January	-6.291253
USA	1916	February	-4.6651545
USA	1916	March	-0.8227421
USA	1916	April	5.850305
USA	1916	May	11.197559
USA	1916	June	15.768206
USA	1916	July	19.82624
USA	1916	August	18.46192
USA	1916	September	13.97742
USA	1916	October	7.644853
USA	1916	November	-0.19306347
USA	1916	December	-6.844528
USA	1917	January	-7.7741456
USA	1917	February	-4.951485
USA	1917	March	-0.80799425
USA	1917	April	4.8152156
USA	1917	May	9.716355
USA	1917	June	15.911982
USA	1917	July	19.567453
USA	1917	August	18.203457
USA	1917	September	14.0282545
USA	1917	October	6.338222
USA	1917	November	-0.04511798
USA	1917	December	-6.95535
USA	1918	January	-8.288975
USA	1918	February	-4.426099
USA	1918	March	0.63734746
USA	1918	April	4.385618
USA	1918	May	11.597966
USA	1918	June	17.3155
USA	1918	July	19.186169
USA	1918	August	18.519426
USA	1918	September	13.442616
USA	1918	October	8.5238
USA	1918	November	-0.6717657
USA	1918	December	-3.8377948
USA	1919	January	-5.5957284
USA	1919	February	-4.170586
USA	1919	March	-0.4232913
USA	1919	April	5.8388324
USA	1919	May	11.751688
USA	1919	June	16.615011
USA	1919	July	19.800814
USA	1919	August	18.65897
USA	1919	September	14.838263
USA	1919	October	7.263934
USA	1919	November	-0.775895
USA	1919	December	-5.9447317
USA	1920	January	-7.126851
USA	1920	February	-3.0360863
USA	1920	March	-1.2017697
USA	1920	April	3.0343776
USA	1920	May	10.832913
USA	1920	June	16.218449
USA	1920	July	18.862206
USA	1920	August	17.778662
USA	1920	September	14.3279085
USA	1920	October	7.783259
USA	1920	November	-0.18272987
USA	1920	December	-4.190948
USA	1921	January	-4.952034
USA	1921	February	-3.381977
USA	1921	March	2.181428
USA	1921	April	5.5878763
USA	1921	May	11.575793
USA	1921	June	17.519405
USA	1921	July	19.91725
USA	1921	August	18.705431
USA	1921	September	14.666334
USA	1921	October	8.319548
USA	1921	November	1.2821196
USA	1921	December	-2.7980065
USA	1922	January	-6.3396254
USA	1922	February	-4.7538443
USA	1922	March	-1.0057771
USA	1922	April	5.5110254
USA	1922	May	11.625284
USA	1922	June	17.041578
USA	1922	July	18.779434
USA	1922	August	18.49703
USA	1922	September	14.995646
USA	1922	October	8.646725
USA	1922	November	0.54377544
USA	1922	December	-3.6628559
USA	1923	January	-4.5378356
USA	1923	February	-4.960415
USA	1923	March	-1.4754272
USA	1923	April	5.350834
USA	1923	May	11.586697
USA	1923	June	16.71245
USA	1923	July	19.77437
USA	1923	August	18.765156
USA	1923	September	14.614565
USA	1923	October	7.7951584
USA	1923	November	1.7984133
USA	1923	December	-3.7369409
USA	1924	January	-7.2551665
USA	1924	February	-3.980838
USA	1924	March	-0.45510578
USA	1924	April	3.9492676
USA	1924	May	10.70653
USA	1924	June	16.69465
USA	1924	July	18.45598
USA	1924	August	18.312183
USA	1924	September	13.306429
USA	1924	October	7.5302887
USA	1924	November	1.55476
USA	1924	December	-6.23511
USA	1925	January	-7.684011
USA	1925	February	-3.2709517
USA	1925	March	1.128214
USA	1925	April	7.302095
USA	1925	May	11.810577
USA	1925	June	17.301119
USA	1925	July	19.607426
USA	1925	August	18.601954
USA	1925	September	15.310618
USA	1925	October	6.994792
USA	1925	November	0.5505289
USA	1925	December	-4.327665
USA	1926	January	-3.7116559
USA	1926	February	-2.5853744
