Country Name	 Value Contributed	Count of Donor Name	Count of Donor Country Code	Count of Donor Country Code2
AfDB	163852236.3	18		
Andorra	100000	1	1	1
Argentina	5000000	10	10	10
Australia	1181946728	134	134	134
Austria	275198346.8	44	44	44
Bangladesh	3125075	10	10	10
Barbados	100000	1	1	1
Belgium	662786902.8	95	95	95
BOAD	1337130.33	1		
Brazil	80269907.93	12	12	12
Brunei Darussalam	149980	2	2	2
Burkina Faso	75000	1	1	1
Canada	3082362471	116	116	116
China	91880095.62	40	40	40
Colombia	4000000	2	2	2
Cote d'Ivoire	23327394.05	20	20	20
Cyprus	100000	1	1	1
Czech Republic	30270508.3	20	20	20
Denmark	821518923.9	78	78	78
EBRD	10000000	1		
EC/EU	2553732781	56		
"Egypt, Arab Republic of"	18193206.48	10	10	10
Estonia	49968.2	1	1	1
Finland	403696718.2	99	99	99
France	5502247250	109	109	109
Gates	858671009.8	63		
Georgia	20000	1	1	1
Germany	4846021517	161	161	161
GFATM Secretariat	250588144.8	125		
Greece	28745040.07	24	24	24
Hungary	1399240.07	6	6	6
IBRD	2530000000	15		
Iceland	4411529.38	14	14	14
IFAD	3073278.58	2		
India	65887544.01	33	33	33
Indonesia	54377839.03	20	20	20
"Iran, Islamic Republic of"	464601.21	1	1	1
Ireland	312499305.6	82	82	82
Israel	1360000	3	3	3
Italy	1768784958	64	64	64
Japan	3265779030	92	92	92
"Korea, Republic of"	122171968.3	51	51	51
Kuwait	12999965	8	8	8
Latvia	71797.75	2	2	2
Liechtenstein	1097561	12	12	12
Luxembourg	71457081.74	49	49	49
Malaysia	132216.49	2	2	2
Mexico	36399310.15	31	31	31
Monaco	144197	4	4	4
Morocco	2499818	5	5	5
Namibia	500000	4	4	4
NDF	33236058.3	16		
Netherlands	2158017509	109	109	109
New Zealand	53444437.45	41	41	41
Nigeria	40240964.72	19	19	19
Norway	2580865376	155	155	155
Oman	5000000	1	1	1
Other Income	3448908.01	2		
Pakistan	52575450.3	18	18	18
Poland	150000	6	6	6
Portugal	64100385.52	46	46	46
Private Citizens Miscellaneous	1070.33	4		
Qatar	4999980	2	2	2
Romania	1133724.5	7	7	7
Russian Federation	367979995.6	59	59	59
Rwanda	1000000	6	6	6
Saudi Arabia	63000000	19	19	19
Singapore	1000000	5	5	5
Slovak Republic	5657783	4	4	4
Slovenia	15992212.03	22	22	22
South Africa	33551064.53	36	36	36
Spain	1366721222	80	80	80
State- and Peace- Building Trust	2000000	1		
Sweden	2394254643	92	92	92
Switzerland	748596663.5	110	110	110
Thailand	13099725	21	21	21
Tunisia	2000000	1	1	1
Turkey	33282420	23	23	23
Uganda	1499934	3	3	3
UNF	74488201.86	43		
United Arab Emirates	1000000	1	1	1
United Kingdom	8562267609	208	208	208
United States	13404343684	230	230	230
WHO	238897264	8		
Zimbabwe	158461.54	1	1	1
Grand Total	61482882324	3155	2800	2800
