geo	Asylum Applicants 2008	Asylum Applicants 2009	Asylum Applicants 2010	Asylum Applicants 2011	Asylum Applicants 2012	Asylum Applicants 2013	Asylum Applicants 2014	Asylum Applicants 2015
EU (28 countries)	11695	12190	10610	11690	12540	12725	23150	96465
Belgium	470	705	860	1385	975	415	470	2850
Bulgaria	15	10	20	25	60	185	940	1815
Czech Republic	35	10	5	10	5	0	5	15
Denmark	300	520	410	270	355	350	815	2125
Germany	765	1305	1950	2125	2095	2485	4400	22255
Estonia	0	0	0	0	0	5	0	0
Ireland	100	55	35	25	25	20	30	35
Greece	295	40	145	60	75	325	440	420
Spain	10	20	15	10	15	10	15	25
France	410	445	610	595	490	365	270	320
Croatia	:	:	:	:	70	55	10	5
Italy	575	415	305	825	970	805	2505	4070
Cyprus	70	20	35	15	25	55	50	105
Latvia	5	0	5	0	0	5	0	10
Lithuania	0	5	10	10	5	0	5	5
Luxembourg	0	10	20	20	15	45	30	105
Hungary	175	270	150	60	185	380	605	8805
Malta	20	45	5	25	105	335	55	35
Netherlands	725	1040	700	485	380	310	960	3855
Austria	695	1040	600	1005	1375	935	1975	8275
Poland	375	360	230	405	245	255	185	150
Portugal	5	0	5	5	10	55	15	50
Romania	55	40	35	55	135	15	95	55
Slovenia	20	25	25	60	50	30	65	40
Slovakia	70	30	5	20	5	5	10	5
Finland	705	535	315	150	165	160	195	2535
Sweden	1510	2250	2395	2655	3575	3850	7045	35250
United Kingdom	4285	2990	1715	1395	1125	1265	1945	3255
Iceland	0	0	0	0	5	0	0	5
Liechtenstein	0	15	0	0	0	0	0	5
Norway	1045	1820	630	635	705	670	940	5050
Switzerland	595	415	220	310	495	355	775	2670
Montenegro	:	:	:	:	:	:	:	:
"Former Yugoslav Republic of Macedonia, the"	:	:	:	:	:	:	:	:
Albania	:	:	:	:	:	:	:	:
Serbia	:	:	:	:	:	:	:	:
Turkey	:	:	:	:	:	:	:	:
